ui_armor;Pancerz
ui_equipment;Wyposa¿enie
ui_skills;Umiejêtnoœci
ui_abilities;Zdolnoœci
ui_character_tab;Postaæ
ui_equipment_tab;Ekwipunek
ui_misc_tab;Pozosta³e
ui_ability_add_button;Dodaj zdolnoœæ
ui_weapons;Broñ
ui_weapons_add_button;Dodaj broñ
ui_armors;Pancerz
ui_armor_add_button;Dodaj pancerz
ui_menu_file;Plik
ui_new_sheet;Nowa
ui_menu_load_sheet;Otwórz
ui_menu_save_sheet;Zapisz
ui_menu_save_sheet_as;Zapisz jako
ui_menu_quit;WyjdŸ
ui_window_name;Karta postaci
ui_load_sheet_window_title;Wczytaj kartê
ui_save_sheet_window_title;Zapisz kartê
ui_ability_display_name;Nazwa
ui_ability_requirements;Wymagania
ui_ability_description;Opis
ui_ranged_skill_value;Umiejêtnoœæ strzelecka
ui_gm_modifier;Modyfikator MG
ui_break_chance;Szansa przegrzania
ui_break_increment;Wzrost szansy pzregrzania/strza³
ui_distance_value;Odleg³oœci
ui_distance_type;Grupa odleg³oœci
ui_distance_modifier;Modyfikator odleg³oœci
ui_size_name;Rozmiar
ui_size_mod;Modyfikator
ui_cover_name;Stopieñ zas³oniêcia
ui_cover_mod;Modyfikator
ui_hit_chance;Szansa na trafienie
ui_shoot_once;Strzel pojedynczo
ui_shoot_series;Strzel seri¹
ui_cancel;Anuluj
ui_shooting_app;Kalkulator strza³ów
ui_menu_open_calculator;Kalkulator strza³ów
ui_outcome_widget_name;Wynik
ui_num_shots_fired;Pocisków do wystrzelenia
ui_num_successes_first;Iloœæ sukcesów pierwszego pocisku
ui_num_successes_remaining;Iloœæ trafieñ pozosta³ych pocisków
ui_overheated_on;Broñ przegrzana przys strzale
ui_weapon_type;Typ
ui_weapon_damage;Obra¿enia
ui_weapon_ap;PP
ui_weapon_damage_type;Rodzaj obra¿eñ
ui_weapon_shotcost;Energia/strza³
ui_weapon_magazine;Stan baterii
ui_weapon_max_magazine;Pojemnoœæ baterii
ui_weapon_fire_mode;Tryb strza³u
ui_notes_notes;Notatki
ui_notes_contacts;Kontakty
ui_notes_knowledge;Wiedza
ui_notes_money;Pieni¹dze
ui_item_archetype;Archetyp
ui_item_name;Nazwa
ui_item_traits;Cechy
ui_item_price;Cena
ui_item_weight;Waga
ui_item_equipped;W u¿yciu
ui_item_quantity;Iloœæ
ui_item_description;Opis
ui_item_total_weight;Ca³kowita
ui_item_transfer_dialog;Przenosisz przedmiot
ui_items_in_inventory;Dostêpna iloœæ
ui_items_to_transfer;Do przeniesienia
ui_add_item_button;Dodaj
ui_modifiers;Modyfikatory
ui_modifier_add_button;Dodaj modyfikator
ui_normal_character;Normalna
ui_alternative_character;Droid
ui_add_property;Dodaj w³aœciwoœæ
ui_equipped_items;Ekwipunek
ui_stashed_items;Schowek
ui_encumbrance;Obci¹¿enie
ui_reputation;Reputacja
ui_speed;Ruch
ui_num_shots;Iloœæ pocisków
ui_modules;Modu³y
ui_parts;Czêœci
ui_module_add_button;Dodaj modu³
ui_part_add_button;Dodaj czêœæ
available_addon;Dodatek
ui_available_addon;Dostêpne dodatki
addon;Dodatek
ui_addon;Dodatki
bonuses;Bonusy
ui_bonuses;Bonusy
available_modification;Modyfikacja
ui_available_modification;Dostêpne modyfikacje
modification;Modyfikacja
